bit,fitted_mse,derivative_d_mse_d_bit,abs_derivative
2.0,0.2542280141305682,-0.36003840404360227,0.36003840404360227
3.0,0.06168426301909814,-0.08735742080963503,0.08735742080963503
4.0,0.014966675947266393,-0.02119584712298487,0.02119584712298487
6.0,0.0008811042704185945,-0.0012478222606678877,0.0012478222606678877
8.0,5.187155371608608e-05,-7.346063524537463e-05,7.346063524537463e-05
16.0,6.230703124763527e-10,-8.823938686620192e-10,8.823938686620192e-10
